GameID,Team,Side,Result,Player,Champion,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
62463,T1,Blue,Loss,Gumayusi,Ziggs,ADC,15,2,5,3,1,318,6,,10.4,12650,414,25.3%,40,17,8,9,7,1.31,0.56,0.29,0.26,16.6%,16638,503,15925,210,544,24.3%,0.16,71.4%,,0,0,0,0,-391,-1,-631,-1,0,1198,1198,100,0,8311,0,14,302,13562,175,11,26,0,50
62463,T1,Blue,Loss,Keria,Alistar,SUPPORT,10,0,5,7,1.4,27,0,,0.9,6385,209,12.8%,106,68,5,21,19,3.47,2.22,0.69,0.16,44%,5389,677,3797,915,176,7.9%,0.23,100%,,0,0,0,0,-426,-5,-263,-1,0,100,100,4300,2337,25203,0,45,78,21603,99,23,39,0,0
62463,HLE,Red,Win,Doran,Jax,TOP,17,7,0,14,Perfect KDA,212,12,,6.9,14715,481,22.7%,43,19,5,8,8,1.41,0.62,0.26,0.16,14.6%,19834,9855,9497,482,649,22.5%,0.69,80.8%,,0,1,0,0,1206,-4,-166,0,0,14006,14006,6047,0,19011,0,20,185,23057,0,9,28,100,0
62463,HLE,Red,Win,Peanut,Vi,JUNGLE,16,5,1,17,22,192,181,,6.3,12717,416,19.6%,50,12,10,10,10,1.64,0.39,0.33,0.33,17%,13779,13103,0,676,451,15.6%,0.72,84.6%,,1,0,0,0,251,-3,3,0,0,3025,3025,17532,0,34473,0,29,375,27085,12,11,27,0,0
62463,HLE,Red,Win,Zeka,Yone,MID,16,4,0,15,Perfect KDA,274,8,,9,13827,452,21.4%,35,10,9,7,7,1.15,0.33,0.23,0.29,11.9%,22775,15401,4942,2432,745,25.8%,0.62,73.1%,,1,0,0,0,-104,3,-13,0,0,5878,5878,9277,0,21612,0,27,294,20564,0,9,25,0,0
62463,HLE,Red,Win,Viper,Kai,ADC,17,9,3,7,5.3,316,38,,10.3,15137,495,23.4%,54,16,13,6,6,1.77,0.52,0.2,0.43,18.4%,28130,9185,18358,587,920,31.9%,0.52,61.5%,,2,1,0,0,391,1,631,1,0,2873,2873,3498,0,9499,0,2,94,16041,139,8,27,0,400
62463,HLE,Red,Win,Delight,Rell,SUPPORT,12,1,3,12,4.3,38,0,,1.2,8349,273,12.9%,112,50,11,13,13,3.66,1.64,0.43,0.36,38.1%,3602,624,2331,647,118,4.1%,0.43,50%,,0,0,0,0,426,5,263,1,0,3888,3888,463,0,17100,0,28,71,16651,67,15,29,0,0
62526,GEN,Blue,Loss,Kiin,K,TOP,15,0,4,2,0.5,224,4,,6.8,9918,300,18.3%,32,14,3,6,6,0.97,0.42,0.18,0.09,12.1%,9568,8006,872,690,289,13%,0.06,33.3%,,0,0,0,0,-1458,-12,-836,-1,0,0,0,1511,0,38375,678,25,2489,24858,102,7,23,0,0
62526,GEN,Blue,Loss,Canyon,Maokai,JUNGLE,14,0,5,1,0.2,182,162,,5.5,9038,273,16.7%,48,9,14,8,7,1.45,0.27,0.24,0.42,18.1%,9061,164,8569,328,274,12.3%,0.03,16.7%,,0,0,0,0,65,17,543,0,0,2098,2098,17251,0,39668,1544,45,617,40546,151,9,26,0,0
62526,GEN,Blue,Loss,Chovy,Zeri,MID,17,3,1,0,3,363,32,,11,14746,445,27.2%,51,5,28,5,5,1.54,0.15,0.15,0.85,19.2%,19661,14451,4625,585,594,26.8%,0.09,50%,,1,0,0,0,409,17,377,1,0,3946,3946,7080,0,11394,0,8,201,17029,52,8,27,200,200
