GameID,Champion,Player,Role,Level,Kills,Deaths,Assists,KDA,CS,CS in Team's Jungle,CS in Enemy Jungle,CSM,Golds,GPM,GOLD%,Vision Score,Wards placed,Wards destroyed,Control Wards Purchased,Detector Wards Placed,VSPM,WPM,VWPM,WCPM,VS%,Total damage to Champion,Physical Damage,Magic Damage,True Damage,DPM,DMG%,K+A Per Minute,KP%,Solo kills,Double kills,Triple kills,Quadra kills,Penta kills,GD@15,CSD@15,XPD@15,LVLD@15,Objectives Stolen,Damage dealt to turrets,Damage dealt to buildings,Total heal,Total Heals On Teammates,Damage self mitigated,Total Damage Shielded On Teammates,Time ccing others,Total Time CC Dealt,Total damage taken,Total Time Spent Dead,Consumables purchased,Items Purchased,Shutdown bounty collected,Shutdown bounty lost
59585,Azir,Faker,MID,18,5,1,3,8,361,11,,11.1,17302,533,26.7%,42,14,13,2,2,1.29,0.43,0.06,0.4,12.7%,20702,96,19205,1401,638,28.3%,0.25,88.9%,,0,1,0,0,-669,0,-162,0,0,14817,14817,4972,0,6597,0,7,214,11296,8,5,22,200,0
59585,Zeri,Gumayusi,ADC,17,3,0,5,Perfect KDA,353,13,,10.9,15150,467,23.4%,64,18,17,7,7,1.97,0.55,0.22,0.52,19.4%,14398,7910,5678,810,443,19.7%,0.25,88.9%,,0,0,0,0,-94,1,-154,0,0,4832,4832,4399,0,6790,0,4,146,11670,0,9,26,0,0
59585,Leona,Keria,SUPPORT,12,0,3,5,1.7,40,0,,1.2,7724,238,11.9%,128,56,21,15,15,3.94,1.72,0.46,0.65,38.8%,4760,896,2841,1023,147,6.5%,0.15,55.6%,,0,0,0,0,-101,2,97,0,0,173,173,395,130,11546,0,22,53,12531,40,17,31,0,0
59585,K,PerfecT,TOP,16,1,2,1,1,266,4,,8.2,10926,337,20%,37,14,5,11,9,1.14,0.43,0.34,0.15,12%,8958,7098,1476,384,276,20%,0.06,33.3%,,0,0,0,0,427,-8,170,0,0,1165,1165,3244,0,28054,129,26,1705,21397,41,12,33,0,50
59585,Lee Sin,Pyosik,JUNGLE,14,3,1,1,4,209,187,,6.4,10636,328,19.5%,58,21,13,13,11,1.79,0.65,0.4,0.4,18.8%,5977,4873,874,230,184,13.3%,0.12,66.7%,,0,0,0,0,400,-16,-420,0,0,594,594,26624,0,37889,663,6,572,36491,0,14,23,0,50
59585,Taliyah,Bdd,MID,17,1,1,5,6,332,4,,10.2,13067,402,23.9%,54,22,10,9,9,1.66,0.68,0.28,0.31,17.5%,13097,1329,11768,0,403,29.2%,0.18,100%,,0,0,0,0,669,0,162,0,0,787,787,1183,0,7666,0,25,717,10995,0,11,28,0,0
59585,Ezreal,Deft,ADC,16,1,3,3,1.3,335,11,,10.3,13047,402,23.9%,44,15,15,5,4,1.36,0.46,0.15,0.46,14.2%,13889,9690,4121,78,428,31%,0.12,66.7%,,0,0,0,0,94,-1,154,0,0,2807,2807,4772,0,6260,0,1,32,15928,62,6,24,0,100
59585,Alistar,BeryL,SUPPORT,11,0,2,4,2,43,0,,1.3,7007,216,12.8%,116,62,15,21,19,3.57,1.91,0.65,0.46,37.5%,2909,348,1913,648,90,6.5%,0.12,66.7%,,0,0,0,0,101,-2,-97,0,0,0,0,7439,2783,17945,0,22,52,21593,28,24,37,0,0
59588,Rumble,Doran,TOP,16,8,2,11,9.5,216,10,,8.2,12315,469,22.1%,28,15,2,9,7,1.07,0.57,0.34,0.08,13.7%,30931,526,30366,39,1178,27.1%,0.72,76%,1,1,0,0,0,964,25,7,0,0,2920,2920,4172,0,21625,0,15,288,18279,67,11,27,0,250
59588,Vi,Peanut,JUNGLE,15,6,2,7,6.5,180,166,,6.9,11298,430,20.2%,36,8,9,6,6,1.37,0.3,0.23,0.34,17.6%,13493,12675,0,818,514,11.8%,0.49,52%,,0,0,0,0,410,5,425,1,0,3488,3488,15448,0,35375,0,21,348,28477,66,7,22,0,500
59588,Azir,Zeka,MID,16,4,1,8,12,236,0,,9,12214,465,21.9%,34,12,13,4,4,1.29,0.46,0.15,0.49,16.7%,23659,456,22799,404,901,20.7%,0.46,48%,,1,0,0,0,-237,0,45,0,0,9446,9446,6255,0,15592,0,9,172,19137,0,7,24,0,250
59588,Ezreal,Viper,ADC,14,6,3,10,5.3,235,3,,8.9,12580,479,22.5%,31,10,8,3,2,1.18,0.38,0.11,0.3,15.2%,39340,27871,10483,986,1498,34.5%,0.61,64%,1,1,0,0,0,231,8,-488,0,0,9567,9567,4522,0,7626,0,6,89,15686,57,4,24,50,300
59588,Alistar,Delight,SUPPORT,13,1,1,15,16,25,0,,1,7418,282,13.3%,75,41,6,11,9,2.86,1.56,0.42,0.23,36.8%,6651,1316,4250,1085,253,5.8%,0.61,64%,,0,0,0,0,22,5,512,1,0,936,936,13130,8671,27671,0,45,108,22273,0,15,30,0,0
59588,Skarner,Mihile,TOP,14,2,6,2,0.7,182,0,,6.9,8783,334,20%,22,9,4,4,4,0.84,0.34,0.15,0.15,11.9%,17051,9254,7617,180,649,26.4%,0.15,44.4%,1,0,0,0,0,-964,-25,-7,0,0,3918,3918,2128,201,42211,0,43,597,29458,194,5,23,0,0
